confidence	intensity	category	term
high	high	eating	厌食
high	high	eating	厭食
high	high	eating	厭食症
medium	low	suicide	受傷
medium	high	suicide	吊頸
medium	low	eating	嘔吐
medium	high	selfharm	壓抑
medium	low	eating	大縫隙
medium	low	eating	大腿縫
medium	low	eating	大腿縫隙
medium	low	eating	大腿缝
medium	low	eating	大腿间距
medium	low	suicide	安眠藥
medium	low	suicide	就死了
medium	low	suicide	快死了
medium	low	wellness	悲傷
medium	low	suicide	想死
medium	low	depression	憂鬱
high	high	suicide	我好想死
medium	low	suicide	我好憎自己
medium	low	suicide	我就死
medium	low	suicide	我快死
high	high	suicide	我想死
high	low	suicide	我憎恨自己
high	low	suicide	我是多餘的
medium	low	suicide	我是負累
medium	low	suicide	我死了就好
high	high	suicide	我要死
high	low	suicide	我討厭自己
medium	high	depression	抑郁
medium	high	eating	抑鬱
medium	high	depression	抑鬱症
medium	low	eating	拒食症
high	high	eating	摂食障害
medium	high	eating	断食
medium	low	suicide	暴力
medium	low	eating	暴瘦
medium	low	eating	暴食
medium	low	eating	暴食症
medium	low	suicide	死
medium	low	suicide	死亡
medium	low	suicide	殺我
medium	low	selfharm	流血
medium	low	eating	減肥
medium	low	eating	減肥禁藥
medium	low	eating	激瘦
medium	low	eating	瀉藥
medium	low	eating	灌腸
medium	low	eating	炫瘦
medium	low	suicide	無走投無路
medium	low	suicide	燒炭
medium	low	selfharm	爆血
medium	low	suicide	痛苦
medium	low	eating	瘦
medium	low	eating	瘦身靈感
medium	low	eating	神経性大食症
medium	low	eating	神経性無食欲症
medium	low	eating	神經性厭食症
medium	low	eating	禁藥
medium	low	eating	禁食
high	low	eating	禁食同伴
medium	low	eating	禁食夥伴
medium	low	eating	禁食瘦身
low	low	eating	節食
medium	low	selfharm	精神痛苦
medium	low	suicide	絕望
high	high	selfharm	自伤
high	high	selfharm	自傷
low	low	selfharm	自己危害
low	low	selfharm	自己損傷
high	high	selfharm	自我伤害
high	high	selfharm	自我傷害
medium	low	suicide	自我厭惡
medium	low	suicide	自我憎恨
medium	low	selfharm	自我残害
medium	low	selfharm	自我殘害
high	high	suicide	自杀
high	high	suicide	自杀倾向
medium	low	selfharm	自残
medium	low	selfharm	自殘
high	high	suicide	自殺
high	high	depression	自殺傾向
high	high	suicide	自殺念頭
high	high	suicide	自殺想法
high	high	suicide	自殺的
low	low	selfharm	自虐
medium	high	selfharm	血
medium	high	selfharm	血液
medium	low	suicide	要死了
high	high	eating	超瘦
medium	low	eating	足やせ
medium	low	suicide	跳樓
medium	low	suicide	跳海
high	high	suicide	跳海自殺
medium	low	suicide	跳軌
medium	low	suicide	躁鬱
high	high	eating	进食障碍
low	low	eating	過度瘦身
medium	low	eating	過度節食
high	high	eating	過食症
high	high	suicide	遺書
low	low	suicide	遺言
high	high	eating	非典型性进食障碍
high	high	eating	非典型性飲食失調
high	high	eating	非典型飲食失調
medium	low	eating	食慾過旺
low	low	eating	食欲不振症
medium	low	eating	飢餓
medium	low	eating	飲食失調
medium	low	eating	飲食障礙
medium	low	eating	飲食障礙症
medium	low	eating	饥饿
medium	low	eating	饮食障碍
medium	low	eating	骨感
medium	low	depression	鬱
medium	low	eating	𠝹傷
low	high	selfharm	𠝹刀
medium	low	eating	𠝹手
medium	low	eating	delgada
medium	low	eating	delgadez
medium	low	eating	delgado
high	high	suicide	desafio da baleia azul
high	high	eating	trynanotbeacow
high	high	eating	trynanotbeawhale
low	low	eating	uithongering
medium	high	eating	verhungern
low	low	eating	vermageren
high	high	suicide	покончить жизнь самоубийством
high	high	suicide	самоубийство
high	high	eating	disturbi alimentari
high	high	eating	distúrbio alimentar
high	high	eating	distúrbios alimentares
high	high	eating	dziennik anorektyczki
high	high	eating	eetstoornis
medium	low	eating	entrepernas
high	high	eating	essstörung
high	high	eating	gangguan makan
medium	low	eating	gangguan pola makan
medium	low	eating	głodówka
low	low	eating	głodzenie się
medium	high	eating	hueco entre los muslos
medium	low	eating	hungern
medium	low	eating	inanición
high	high	suicide	ingin bunuh diri
high	high	eating	inspirasi kurus
high	high	suicide	intihar
high	high	suicide	intihar etme
medium	low	selfharm	kendine zarar verme
medium	low	selfharm	kendini sakatlama
high	high	selfharm	kendini yaralama
medium	low	selfharm	kesik
medium	low	eating	kurus
high	high	suicide	lebensmüde
high	high	eating	magersucht
high	high	selfharm	mutilação
medium	low	eating	oberschenkelabstand
medium	high	eating	passar fome
high	high	selfharm	pociąć sie
medium	low	eating	privación
high	high	selfharm	samo okaleczenie
high	high	suicide	samobójcze
medium	low	suicide	samobojstwo
high	high	suicide	samobójstwo
medium	low	selfharm	samookaleczenie
medium	low	selfharm	schneiden
medium	low	selfharm	selbstbeschädigung
medium	low	selfharm	selbsthass
high	high	suicide	selbstmord
high	high	suicide	selbstmordgefährdet
high	high	selfharm	selbstverletzung
high	high	selfharm	selbstverstümmelung
medium	low	eating	separação entre pernas
medium	low	eating	sıska
medium	low	eating	sıska kalma
medium	low	selfharm	sneewond
medium	high	selfharm	snijden
medium	high	eating	tagliarsi
high	high	eating	transtorno alimentar
high	high	eating	trastornos alimentarios
high	high	eating	trastornos de la alimentación
medium	low	selfharm	traurig
medium	low	eating	troubles des comportements alimentaires
medium	low	eating	troubles des conduites alimentaires
medium	low	eating	vinegardinner
medium	high	eating	ed recovery
medium	high	eating	ed awareness
medium	high	eating	eating disorder recovery
medium	high	eating	eating disorder awareness
high	high	eating	wannarexic
high	high	selfharm	s3lf h4rmer
high	high	eating	thinsperation
medium	low	eating	thin
medium	low	eating	thinnness
high	high	suicide	done with life
medium	high	suicide	help me die
high	high	selfharm	self injury
high	high	selfharm	selfinjury
high	high	selfharm	ehtilb
medium	low	wellness	wellness
medium	low	wellness	self care
medium	low	wellness	selfcare
medium	low	wellness	body positive
medium	low	wellness	body neutrality
medium	low	wellness	recovery
medium	low	wellness	fitness
medium	low	wellness	health
medium	low	wellness	nutrition
medium	low	wellness	meditation
medium	low	wellness	mindfulness
medium	low	wellness	positive psychology
low	low	wellness	sleep
medium	low	wellness	sleep disorder
low	low	wellness	can't sleep
low	low	wellness	I can't sleep
medium	low	wellness	first responder
medium	low	wellness	social anxiety
high	low	wellness	seasonal affective disorder
medium	low	wellness	dumped me
medium	low	wellness	emotional health
medium	low	wellness	resilience
medium	low	wellness	emotional resilience
medium	low	wellness	mental wellbeing
medium	low	wellness	well-being
medium	low	wellness	self awareness
medium	low	wellness	self-awareness
high	low	wellness	agorophobia
high	low	wellness	phobia
high	low	wellness	fear of flying
high	low	wellness	fear of public speaking
low	low	wellness	fear
medium	low	depression	grief
high	high	eating	tw/ed
high	high	suicide	tw sui
high	high	suicide	cw sui
low	low	wellness	peer support
medium	low	wellness	koko
medium	low	wellness	kokobot
high	high	suicide	commit suicide
high	high	suicide	commits suicide
high	high	suicide	kms
high	high	suicide	end myself
high	high	selfharm	cut myself
high	high	suicide	want to disappear
high	low	wellness	mental health
high	low	wellness	mental illness
medium	low	wellness	borderline
medium	low	wellness	bpd
medium	low	wellness	cbt
medium	low	wellness	cognitive therapy
medium	low	wellness	dbt
medium	low	wellness	dialectical behavior therapy
medium	low	wellness	therapy
